nombre,per_variable
AIORA,0.09581020464900245
ALBORS,0.0
ARRANCAPINS,0.18747647893707275
BENICALAP,0.154520027935028
BENIFARAIG,0.0
BENIFERRI,0.16240702604072388
BENIMACLET,0.08470802621250789
BENIMAMET,0.038456899063076054
BETERO,0.15707038368503864
BORBOTO,0.0
CABANYAL-CANYAMELAR,0.13317445336138536
CAMI DE VERA,0.24125456133822185
CAMI FONDO,0.06770559276870831
CAMI REAL,0.24768872796882585
CAMPANAR,0.19615839611885605
CARPESA,0.0
CASTELLAR-L'OLIVERAL,0.027233900001009916
CIUTAT DE LES ARTS I DE LES CIENCIES,0.3651942298035222
CIUTAT FALLERA,0.3191304762840057
CIUTAT JARDI,0.20587136924193075
CIUTAT UNIVERSITARIA,0.21818111710193602
EL BOTANIC,0.28325425880485017
EL CALVARI,0.03564572749804072
EL CARME,0.22879522111281875
EL FORN D'ALCEDO,0.006454369856805375
EL GRAU,0.014777356060648467
EL MERCAT,0.006678473568142706
EL PALMAR,0.0
EL PERELLONET,0.0
EL PILAR,0.0005662755506450479
EL PLA DEL REMEI,0.09959667700374412
EL SALER,0.0
ELS ORRIOLS,0.15324174062747808
EN CORTS,0.11324792381194772
EXPOSICIO,0.260576685969476
FAITANAR,0.021747428568924775
FAVARA,0.036163942333212115
JAUME ROIG,0.1453075505850051
L'AMISTAT,0.14330076662394628
L'HORT DE SENABRE,0.1592576831742941
L'ILLA PERDUDA,0.08737035566344335
LA CARRASCA,0.18737694293763926
LA CREU COBERTA,0.037566128206379494
LA CREU DEL GRAU,0.06291483838338587
LA FONTETA S.LLUIS,0.20989668158646352
LA FONTSANTA,0.006569878858152893
LA GRAN VIA,0.1567125761846609
LA LLUM,0.052495246449684604
LA MALVA-ROSA,0.12611766061334068
LA PETXINA,0.08728381932076414
LA PUNTA,0.042584181964190844
LA RAIOSA,0.02872442915177867
LA ROQUETA,0.009301130041825733
LA SEU,0.07703100679556699
LA TORRE,0.04014547229155413
LA VEGA BAIXA,0.1031711199812208
LA XEREA,0.18645791901445058
LES CASES DE BARCENA,0.0
LES TENDETES,0.22813256274033503
MAHUELLA-TAULADELLA,0.0
MALILLA,0.16484891933116758
MARXALENES,0.2338595778177526
MASSARROJOS,0.0
MESTALLA,0.23093307035922492
MONTOLIVET,0.13138553909406678
MORVEDRE,0.23414841935728747
NA ROVELLA,0.21673061305550997
NATZARET,0.11886861214094775
NOU MOLES,0.14353521504427263
PATRAIX,0.07719782389801201
PENYA-ROJA,0.2590215094524985
PINEDO,0.0
POBLE NOU,0.026693560752829505
RAFALELL-VISTABELLA,0.0
RUSSAFA,0.14664119274497214
SAFRANAR,0.15406286983332335
SANT ANTONI,0.04429158362895783
SANT FRANCESC,0.13452892555315302
SANT ISIDRE,0.07718850399899368
SANT LLORENS,0.07618880910431823
SANT MARCEL.LI,0.20690011152406032
SANT PAU,0.189449919149484
SOTERNES,0.07867040938896558
TORMOS,0.17716205403010002
TORREFIEL,0.16051805020365686
TRES FORQUES,0.13705200342492982
TRINITAT,0.4513626757887049
VARA DE QUART,0.019274851961858127
